user_id,Contract,RelaxDuration,MovieDuration,ChildDuration,SportDuration,TVDuration,TotalDuration,Most_Watch,Taste,Type,Activeness,Clinginess,most_search_june,category_june,most_search_july,category_july,trending_type,previous
5748,AGAAA0692,0,0,0,0,107057,107057,TV,TV,Medium,8,Low,lời nguyền ma lai,Horror movie,chuyen sinh thanh nhen,Anime,Changed,Horror movie; Anime
7996,AGAAA0693,482,33,10361,0,233447,244323,TV,Relax-Movie-Child-TV,Medium,29,High,phàm nhân tu tiên (phần 2),C-Drama,thanh lạc,C-Drama,Unchanged,Unchanged
7996,AGAAA0693,482,33,10361,0,233447,244323,TV,Relax-Movie-Child-TV,Medium,29,High,phàm nhân tu tiên,C-Drama,thanh lạc,C-Drama,Unchanged,Unchanged
7996,AGAAA0718,0,0,0,0,634586,634586,TV,TV,High,28,High,phàm nhân tu tiên (phần 2),C-Drama,thanh lạc,C-Drama,Unchanged,Unchanged
7996,AGAAA0718,0,0,0,0,634586,634586,TV,TV,High,28,High,phàm nhân tu tiên,C-Drama,thanh lạc,C-Drama,Unchanged,Unchanged
8207,AGAAA0723,0,0,0,0,9279,9279,TV,TV,Low,19,Low,CONAN,Anime,TIENG ANH LOP 5,Learning,Changed,Anime; Learning
9576,AGAAA0729,0,0,0,0,161781,161781,TV,TV,Medium,3,Low,THIEN KIM TRO VE,C-Drama,dữ quân ca,C-Drama,Unchanged,Unchanged
10270,AGAAA0732,0,463,0,0,99030,99493,TV,Movie-TV,Medium,23,High,kênh vtv1,TV,kênh truyền hình khánh hòa,TV,Unchanged,Unchanged
10414,AGAAA0737,0,0,0,0,29830,29830,TV,TV,Low,1,Low,bật thầy hoá trang,C-Drama,ngọt ngào dành riêng em,C-Drama,Unchanged,Unchanged
10527,AGAAA0750,0,0,0,0,525708,525708,TV,TV,High,25,High,học viện anh hùng (phần 1),Anime,jujutsu kaisen 0,Anime,Unchanged,Unchanged
11634,AGAAA0776,0,0,0,0,474467,474467,TV,TV,Medium,30,High,liên khúc thương hoài ngàn năm,Music,liên khúc con đường xưa em đi,Music,Unchanged,Unchanged
11639,AGAAA0848,0,0,0,0,12141,12141,TV,TV,Low,25,Medium,vợ ra tội ác,C-Drama,quân cửu linh,C-Drama,Unchanged,Unchanged
12401,AGAAA0849,0,0,0,0,18769,18769,TV,TV,Low,30,Medium,mairimashita! iruma-kun,Anime,boku no hero academia season 1,Anime,Unchanged,Unchanged
13823,AGAAA0864,0,0,0,0,260407,260407,TV,TV,Medium,5,Low,NARUTO,Anime,boruto: naruto the movie,Anime,Unchanged,Unchanged
13912,AGAAA0885,0,0,0,0,354499,354499,TV,TV,Medium,20,Medium,sao băng,K-Drama,phi vụ triệu đô,Action movie,Changed,K-Drama; Action movie
14111,AGAAA0886,0,0,0,0,39163,39163,TV,TV,Low,14,Low,running man,Gameshow,cẩm y chi hạ,C-Drama,Changed,Gameshow; C-Drama
14550,AGAAA0894,0,0,0,0,41583,41583,TV,TV,Low,20,Low,mở xe múc,Kids,liên khúc duy khánh,Music,Changed,Kids; Music
15535,AGAAA0901,0,0,0,0,796083,796083,TV,TV,High,30,High,liêu trai,C-Drama,bác sĩ quái dị,Anime,Changed,C-Drama; Anime
15563,AGAAA0932,0,0,0,1967,397434,399401,TV,Sport-TV,Medium,20,Medium,cùng em đi đến tận cùng thế giới,Romantic movie,bão trắng 2: trùm á phiện,C-Drama,Changed,Romantic movie; C-Drama
15590,AGAAA0937,0,0,0,0,86400,86400,TV,TV,Medium,1,Low,tấm cám: chuyện chưa kể,V-Drama,tấm cám: chuyện chưa kể,V-Drama,Unchanged,Unchanged
15804,AGAAA1004,0,0,0,0,58329,58329,TV,TV,Low,25,Medium,tôi độc thân dựa vào thực lực,C-Drama,bạo phong nhãn,C-Drama,Unchanged,Unchanged
16455,AGAAA1047,0,53227,0,0,305816,359043,TV,Movie-TV,Medium,30,High,cây,Other,voice,Other,Unchanged,Unchanged
17684,AGAAA1147,103,0,0,0,1299590,1299693,TV,Relax-TV,High,23,High,sứ mệnh cuói cung cua thien than,Romantic movie,bác sĩ yo han,K-Drama,Changed,Romantic movie; K-Drama
1804,AGAAA1165,0,0,0,0,116856,116856,TV,TV,Medium,28,High,nửa là đường mật,C-Drama,thế giới này không dựa vào nhan sắc,C-Drama,Unchanged,Unchanged
18138,AGAAA1166,0,0,0,0,164055,164055,TV,TV,Medium,7,Low,huyết giới chiến tuyến,Anime,dr. stone (season 2),Anime,Unchanged,Unchanged
18591,AGAAA1203,0,0,0,0,325261,325261,TV,TV,Medium,30,High,bolero,Music,"taxi, em tên gì?",V-Drama,Changed,Music; V-Drama
18879,AGAAA1218,0,0,0,0,132794,132794,TV,TV,Medium,9,Low,ai cũng có thể nhảy - anybody can dance,Gameshow,soshi,Other,Changed,Gameshow; Other
19650,AGAAA1223,0,0,0,0,323392,323392,TV,TV,Medium,7,Low,hori,Anime,classroomoftheelite,Anime,Unchanged,Unchanged
19706,AGAAA1279,0,0,0,0,47968,47968,TV,TV,Low,11,Low,bên nhau trọn đời,C-Drama,lê hấp đường phèn,Cooking,Changed,C-Drama; Cooking
19920,AGAAA1282,0,0,427,0,168792,169219,TV,Child-TV,Medium,6,Low,thiếu nhi,Kids,bolero,Music,Changed,Kids; Music
20027,AGAAA1288,0,0,0,0,164868,164868,TV,TV,Medium,12,Medium,sếp kim đại tài,K-Drama,lời thú tội,J-Drama,Changed,K-Drama; J-Drama
20071,AGAAA1306,0,0,416,29,108905,109350,TV,Child-Sport-TV,Medium,23,High,TAEKWONDO,Other,CAM Y,C-Drama,Changed,Other; C-Drama
2325,AGAAA1316,0,0,0,0,198831,198831,TV,TV,Medium,29,High,nhất sinh nhất thế,C-Drama,tinh hán xán,C-Drama,Unchanged,Unchanged
23663,AGAAA1345,0,0,0,0,58622,58622,TV,TV,Low,29,Medium,SIN CITY,Action movie,cướp biển,Action movie,Unchanged,Unchanged
23968,AGAAA1361,0,0,0,0,225903,225903,TV,TV,Medium,30,High,truyện,Kids,robot máy,Other,Changed,Kids; Other
24233,AGAAA1367,0,0,0,0,1535818,1535818,TV,TV,High,20,High,NEVERL,Other,M,Other,Unchanged,Unchanged
25492,AGAAA1376,0,0,0,0,259200,259200,TV,TV,Medium,3,Low,sao băng thuyêt minh,K-Drama,hoàn hồn,K-Drama,Unchanged,Unchanged
26325,AGAAA1383,0,4909,0,0,8082,12991,TV,Movie-TV,Low,8,Low,mẹ ma,Horror movie,mẹ ma,Horror movie,Unchanged,Unchanged
27835,AGAAA1389,0,0,0,0,1252129,1252129,TV,TV,High,30,High,lời nói dối của hồ ly,C-Drama,minh lan truyện,C-Drama,Unchanged,Unchanged
28436,AGAAA1414,0,0,0,0,106617,106617,TV,TV,Medium,7,Low,bắt ma phá án,K-Drama,con ruột con riêng,K-Drama,Unchanged,Unchanged
28494,AGAAA1415,0,0,0,0,279649,279649,TV,TV,Medium,28,High,một ngày để yêu,Romantic movie,yêu tinh,K-Drama,Changed,Romantic movie; K-Drama
28736,AGAAA1430,0,0,0,0,207480,207480,TV,TV,Medium,7,Low,kimetsu no yaiba,Anime,gundam,Kids,Changed,Anime; Kids
30030,AGAAA1464,0,0,0,0,553214,553214,TV,TV,High,30,High,FREE,Other,KAKEGURUI,Anime,Changed,Other; Anime
30912,AGAAA1511,0,120050,0,0,302559,422609,TV,Movie-TV,Medium,30,High,trái tim bé bỏng,Romantic movie,khủng long,Kids,Changed,Romantic movie; Kids
31428,AGAAA1537,0,257,0,0,68597,68854,TV,Movie-TV,Medium,29,High,captain america 2: chiến binh mùa đông,Action movie,sword art online: alicization,Anime,Changed,Action movie; Anime
31507,AGAAA1539,0,0,0,0,172800,172800,TV,TV,Medium,2,Low,cô nàng trong trắng oh woo ri,K-Drama,nhất kiến khuynh tâm,C-Drama,Changed,K-Drama; C-Drama
32305,AGAAA1561,0,0,0,0,915378,915378,TV,TV,High,24,High,đám cưới,Other,anna,Other,Unchanged,Unchanged
3266,AGAAA1567,0,0,0,0,86400,86400,TV,TV,Medium,1,Low,Liên Minh Công Lý: Phiên bản của Zack Snyder,Action movie,lối nhỏ vào đời,Music,Changed,Action movie; Music
32844,AGAAA1587,0,0,0,0,258299,258299,TV,TV,Medium,11,Medium,MA D,Other,mùa đông vĩ đại,Other,Unchanged,Unchanged
33559,AGAAA1605,0,0,0,0,168849,168849,TV,TV,Medium,30,High,jurassic world,Kids,despicable me,Kids,Unchanged,Unchanged
33649,AGAAA1636,0,0,0,0,14868,14868,TV,TV,Low,7,Low,thuỵ sỹ đá tây ban nha,Sport,thai lan vs indonesia,Sport,Unchanged,Unchanged
33788,AGAAA1638,0,0,0,0,169138,169138,TV,TV,Medium,16,Medium,vén màn tội ác,Action movie,thế giới hôn nhân,K-Drama,Changed,Action movie; K-Drama
35350,AGAAA1647,0,0,0,0,115350,115350,TV,TV,Medium,29,High,ám ảnh KINH,Horror movie,john wick 2,Action movie,Changed,Horror movie; Action movie
36165,AGAAA1658,0,0,0,0,123490,123490,TV,TV,Medium,28,High,trữ tình,Music,trữ tình,Music,Unchanged,Unchanged
36379,AGAAA1676,0,0,0,0,748878,748878,TV,TV,High,30,High,thiếu nhi,Kids,toán lớp 2 (chương trình cũ),Learning,Changed,Kids; Learning
36449,AGAAA1708,20,290,0,0,208664,208974,TV,Relax-Movie-TV,Medium,30,High,bác sĩ luật sư,Other,tinh hà xan,C-Drama,Changed,Other; C-Drama
38372,AGAAA1710,0,0,0,0,902316,902316,TV,TV,High,30,High,cuoc song thuong luu,K-Drama,cuoc song thuong luu,K-Drama,Unchanged,Unchanged
39427,AGAAA1817,0,0,0,0,106911,106911,TV,TV,Medium,13,Medium,thanh thanh tử khâm,C-Drama,tinh hán xánnlanj,C-Drama,Unchanged,Unchanged
39798,AGAAA1881,55,0,0,0,28487,28542,TV,Relax-TV,Low,30,Medium,ký ức của kẻ sát nhân,Horror movie,mua he yeu dau cua chung ta,K-Drama,Changed,Horror movie; K-Drama
41173,AGAAA1894,0,0,0,0,80789,80789,TV,TV,Medium,9,Low,bác sĩ luật sư,Other,anna,Other,Unchanged,Unchanged
41173,AGAAA1894,0,0,0,0,80789,80789,TV,TV,Medium,9,Low,detective k: secret of virtuous widow,K-Drama,anna,Other,Changed,K-Drama; Other
41173,AGAAA1906,0,0,0,0,173824,173824,TV,TV,Medium,10,Low,bác sĩ luật sư,Other,anna,Other,Unchanged,Unchanged
41173,AGAAA1906,0,0,0,0,173824,173824,TV,TV,Medium,10,Low,detective k: secret of virtuous widow,K-Drama,anna,Other,Changed,K-Drama; Other
41444,AGAAA1922,0,0,0,0,250466,250466,TV,TV,Medium,30,High,không thèm yêu đương với sếp,C-Drama,minh lan truyện,C-Drama,Unchanged,Unchanged
42152,AGAAA1970,0,0,0,0,635809,635809,TV,TV,High,28,High,dororo,Anime,phim kinh dị,Horror movie,Changed,Anime; Horror movie
42161,AGAAA1990,0,0,0,0,99063,99063,TV,TV,Medium,19,Medium,mouse,Action movie,the gangster,Action movie,Unchanged,Unchanged
42290,AGAAA1992,0,0,0,0,75782,75782,TV,TV,Medium,4,Low,thiên nga bóng đêm,K-Drama,võ tắc thiên,Action movie,Changed,K-Drama; Action movie
42834,AGAAA2002,0,0,0,0,272408,272408,TV,TV,Medium,8,Low,nhất dạ tân nương,C-Drama,tại sao lại là oh soo jae?,K-Drama,Changed,C-Drama; K-Drama
43130,AGAAA2059,0,439,0,0,109035,109474,TV,Movie-TV,Medium,13,Medium,mặt nạ thủy tinh,Anime,ước deinhj k,Other,Changed,Anime; Other
43686,AGAAA2074,0,0,0,0,442689,442689,TV,TV,Medium,27,High,Con quay vô cực,Kids,a record of a mortal's journey to immortality,Other,Changed,Kids; Other
43902,AGAAA2120,44,0,0,0,244985,245029,TV,Relax-TV,Medium,28,High,cuộc chiến,Action movie,cuộc chiến,Action movie,Unchanged,Unchanged
44080,AGAAA2137,0,0,0,0,86400,86400,TV,TV,Medium,1,Low,huyết mạch kiêu hùng,C-Drama,đóa  hoa tham vọng,Thai-Drama,Changed,C-Drama; Thai-Drama
44586,AGAAA2154,0,0,0,0,150706,150706,TV,TV,Medium,19,Medium,taxi driver,K-Drama,cậu bé yêu quái,Anime,Changed,K-Drama; Anime
44680,AGAAA2194,0,0,0,0,53440,53440,TV,TV,Low,20,Low,báo thù rửa hận,C-Drama,lối nhỏ vào đời tập 20,V-Drama,Changed,C-Drama; V-Drama
45028,AGAAA2213,0,269,0,0,181013,181282,TV,Movie-TV,Medium,5,Low,phim xã hội đen hồng kim bảo,C-Drama,phim bao công trọn bộ,C-Drama,Unchanged,Unchanged
46166,AGAAA2240,222,0,13,0,21812,22047,TV,Relax-Child-TV,Low,17,Low,bắt ma phá án,Comedy,lời nguyền định mệnh,K-Drama,Changed,Comedy; K-Drama
46174,AGAAA2261,0,0,0,0,2334648,2334648,TV,TV,High,28,High,why her?,K-Drama,why her?,K-Drama,Unchanged,Unchanged
46929,AGAAA2264,0,0,0,0,557430,557430,TV,TV,High,30,High,mong hoa luc,C-Drama,hạnh phúc,Other,Changed,C-Drama; Other
47406,AGAAA2301,0,0,0,0,147283,147283,TV,TV,Medium,16,Medium,cô nàng trong trắng oh woo ri,K-Drama,giả danh,K-Drama,Unchanged,Unchanged
47851,AGAAA2315,0,343,0,0,171883,172226,TV,Movie-TV,Medium,28,High,bluse,Other,nhất sinh nhất thế,K-Drama,Changed,Other; K-Drama
4833,AGAAA2343,0,0,0,0,92387,92387,TV,TV,Medium,16,Medium,"làm sao, boss lại làm sao nữa?",C-Drama,nghìn,Romantic movie,Changed,C-Drama; Romantic movie
48360,AGAAA2365,0,0,0,0,456130,456130,TV,TV,Medium,30,High,one piece,Anime,sổ xố kiến thiết,Other,Changed,Anime; Other
48439,AGAAA2394,0,0,0,0,86575,86575,TV,TV,Medium,8,Low,CONA,Anime,vượt ngục,Action movie,Changed,Anime; Action movie
48616,AGAAA2428,0,0,0,0,150820,150820,TV,TV,Medium,27,High,the boys,Action movie,shooting stars,K-Drama,Changed,Action movie; K-Drama
50265,AGAAA2470,0,0,0,0,278827,278827,TV,TV,Medium,22,High,tranh thien ha,C-Drama,cam y chi ha,C-Drama,Unchanged,Unchanged
52851,AGAAA2474,0,0,0,0,798995,798995,TV,TV,High,30,High,trường vũ,Music,24h yêu,Music,Unchanged,Unchanged
54650,AGAAA2498,0,0,0,0,268854,268854,TV,TV,Medium,30,High,ngược dòng thời gian để yêu anh,Romantic movie,yêu thầm anh xã,Romantic movie,Unchanged,Unchanged
55945,AGAAA2517,0,0,0,0,33861,33861,TV,TV,Low,3,Low,lưu bá ôn,Other,cổ máy thời gian,C-Drama,Changed,Other; C-Drama
55994,AGAAA2551,0,0,0,0,166667,166667,TV,TV,Medium,30,High,năm anh em siêu nhân,Kids,siêu nhân,Kids,Unchanged,Unchanged
58499,AGAAA2558,10367,0,455,0,202504,213326,TV,Relax-Child-TV,Medium,29,High,golf,Sport,tennis,Sport,Unchanged,Unchanged
58567,AGAAA2588,0,0,0,0,1078595,1078595,TV,TV,High,30,High,học viện quân sự liệt hỏa,C-Drama,truc tiep u19 thai lan va indo,Sport,Changed,C-Drama; Sport
59413,AGAAA2645,0,0,0,0,58204,58204,TV,TV,Low,3,Low,dr. stone,Anime,thánh lười tanaka,Anime,Unchanged,Unchanged
5968,AGAAA2678,0,1210,0,0,172632,173842,TV,Movie-TV,Medium,26,High,Địch Lệ Nhiệt Ba,C-Drama,Cốt ngữ,C-Drama,Unchanged,Unchanged
59711,AGAAA2692,0,49778,0,0,127064,176842,TV,Movie-TV,Medium,26,High,luật sư bác sĩ,K-Drama,luật sư woo young woo,K-Drama,Unchanged,Unchanged
59773,AGAAA2701,0,0,0,0,92881,92881,TV,TV,Medium,12,Medium,tuyển tập: chú lợn con tìm bạn,Kids,cẩm tâm tựa ngọc,C-Drama,Changed,Kids; C-Drama
60714,AGAAA2703,0,0,0,0,208590,208590,TV,TV,Medium,24,High,học viện ma vương,Anime,học viện anh hùng (phần 4),Anime,Unchanged,Unchanged
6112,AGAAA2713,0,0,0,0,170844,170844,TV,TV,Medium,29,High,u23 việt nam,Sport,xem lai voet nam,Sport,Unchanged,Unchanged
61171,AGAAA2734,0,0,0,0,98297,98297,TV,TV,Medium,20,Medium,lyrical music,Music,snake movie,Horror movie,Changed,Music; Horror movie
62974,AGAAA2749,0,22,0,0,533899,533921,TV,Movie-TV,High,26,High,boruto,Anime,the strangers,Horror movie,Changed,Anime; Horror movie
63373,AGAAA2768,0,0,0,0,348061,348061,TV,TV,Medium,13,Medium,thiên nga bóng đêm,K-Drama,thiên nga bóng đêm tập 7,K-Drama,Unchanged,Unchanged
64401,AGAAA2796,0,0,0,0,334921,334921,TV,TV,Medium,13,Medium,tuyển Việt Nãm,Sport,Viễn Đông Nam Á,Other,Changed,Sport; Other
64579,AGAAA2802,0,120477,222,0,62192,182891,Movie,Movie-Child-TV,Medium,30,High,giữa thanh xuân,Romantic movie,the game of thrones reunion hosted by conan o’brien,US-Drama,Changed,Romantic movie; US-Drama
64645,AGAAA2807,45,2741,14,0,68043,70843,TV,Relax-Movie-Child-TV,Medium,28,High,unforgettable love,Romantic movie,cá mực hầm mật,C-Drama,Changed,Romantic movie; C-Drama
64780,AGAAA2831,0,0,0,0,241934,241934,TV,TV,Medium,11,Medium,cẩm tâm tưan ngọc,C-Drama,NU LUAT SU KI  LA,K-Drama,Changed,C-Drama; K-Drama
65304,AGAAA2836,0,0,0,0,414227,414227,TV,TV,Medium,27,High,hoàng hậu cuối cùng,K-Drama,nếu ốc sên có tình yêu,Romantic movie,Changed,K-Drama; Romantic movie
65457,AGAAA2873,73,65,115,0,196965,197218,TV,Relax-Movie-Child-TV,Medium,19,Medium,sống thái nguyên,Other,lọ lem,Kids,Changed,Other; Kids
65860,AGAAA2935,0,0,0,0,155626,155626,TV,TV,Medium,18,Medium,yêu trong đau thương,Romantic movie,co xa truyen,C-Drama,Changed,Romantic movie; C-Drama
66474,AGAAA2946,0,19,16,0,758,793,TV,Movie-Child-TV,Low,2,Low,yêu nhầm chị dâu,Romantic movie,danh sách mua sắm của kẻ sát nhân,K-Drama,Changed,Romantic movie; K-Drama
66728,AGAAA2995,0,30,0,0,145104,145134,TV,Movie-TV,Medium,19,Medium,le do hyun,K-Drama,điều tuyệt vời nhất của chúng ta,C-Drama,Changed,K-Drama; C-Drama
68242,AGAAA3008,0,13,0,0,19389,19402,TV,Movie-TV,Low,27,Medium,TRACH THIEN KY,C-Drama,ngược dòng thời gian để yêu anh,Romantic movie,Changed,C-Drama; Romantic movie
69361,AGAAA3016,0,0,0,0,324877,324877,TV,TV,Medium,24,High,Nhậtky,K-Drama,Vincenzo,K-Drama,Unchanged,Unchanged
69894,AGAAA3032,0,16,0,0,105,121,TV,Movie-TV,Low,1,Low,hẹn hò trốn công sở,Romantic movie,nữ luật sư kì lạ,K-Drama,Changed,Romantic movie; K-Drama
70178,AGAAA3040,34,37,113,0,685669,685853,TV,Relax-Movie-Child-TV,High,20,High,khoảnh khắc tình yêu,Romantic movie,tha chi thien,C-Drama,Changed,Romantic movie; C-Drama
70239,AGAAA3067,0,1233,0,0,123758,124991,TV,Movie-TV,Medium,24,High,sự phản công,C-Drama,ngôi trường xác sống,Horror movie,Changed,C-Drama; Horror movie
71369,AGAAA3098,347,64,0,0,4360,4771,TV,Relax-Movie-TV,Low,13,Low,the thing,Horror movie,liên minh siêu thú dc,Action movie,Changed,Horror movie; Action movie
72799,AGAAA3107,33,32,0,0,273148,273213,TV,Relax-Movie-TV,Medium,14,Medium,sare,Thai-Drama,minh châu rực rỡ,Thai-Drama,Unchanged,Unchanged
72941,AGAAA3118,0,0,0,0,45769,45769,TV,TV,Low,4,Low,con voi,Kids,pig,Kids,Unchanged,Unchanged
73713,AGAAA3141,72,45,164,30,36338,36649,TV,Relax-Movie-Child-Sport-TV,Low,14,Low,luc trinh truyen ky,C-Drama,chuyện người hầu gái s4,US-Drama,Changed,C-Drama; US-Drama
73916,AGAAA3173,0,14,548,0,160017,160579,TV,Movie-Child-TV,Medium,21,High,cuộc chiến thượng lưu,K-Drama,thanh gươm diệt quỷ,Anime,Changed,K-Drama; Anime
76402,AGAAA3176,0,0,0,0,137425,137425,TV,TV,Medium,21,High,tuyển tập: gia đình là số một,Comedy,NGO,Other,Changed,Comedy; Other
76649,AGAAA3180,0,0,0,0,187908,187908,TV,TV,Medium,23,High,nỗi vương vấn của hạ tiên sinh,C-Drama,xuân hoa thu nguyệt,C-Drama,Unchanged,Unchanged
76697,AGAAA3229,58,42,0,0,263770,263870,TV,Relax-Movie-TV,Medium,5,Low,tân bao thanh thiên: nam hiệp kỳ án,C-Drama,niên đại cam hồng,Action movie,Changed,C-Drama; Action movie
78898,AGAAA3236,0,0,0,0,21996,21996,TV,TV,Low,18,Low,cuộc sống thượng lưu 4,K-Drama,ký sự thanh xuân,Romantic movie,Changed,K-Drama; Romantic movie
80349,AGAAA3245,38,38,42,0,50217,50335,TV,Relax-Movie-Child-TV,Low,20,Low,trở lại tuổi 18,K-Drama,gia đình điệp viên,Anime,Changed,K-Drama; Anime
81108,AGAAA3249,0,0,0,0,55888,55888,TV,TV,Low,13,Low,saiko kusuo,Anime,Bleach,Anime,Unchanged,Unchanged
83227,AGAAA3255,0,22,36,0,21636,21694,TV,Movie-Child-TV,Low,12,Low,trăm năm hoà hợp,Romantic movie,thiên thịnh trường ca,C-Drama,Changed,Romantic movie; C-Drama
83805,AGAAA3272,0,0,21,0,325,346,TV,Child-TV,Low,1,Low,tro choi vuong,Action movie,"taxi, em tên gì?",V-Drama,Changed,Action movie; V-Drama
84795,AGAAA3283,0,18970,29,0,788434,807433,TV,Movie-Child-TV,High,18,High,cuộc sống thượng lưu 2,K-Drama,cám dỗ,K-Drama,Unchanged,Unchanged
85123,AGAAA3286,0,0,0,0,34925,34925,TV,TV,Low,5,Low,hậu duệ mặt trời,K-Drama,EM CHUA 18,V-Drama,Changed,K-Drama; V-Drama
85143,AGAAA3295,0,143,64,0,41582,41789,TV,Movie-Child-TV,Low,10,Low,hoa nở trăng vừa tròn,C-Drama,diên hy công lược,C-Drama,Unchanged,Unchanged
85729,AGAAA3296,13,17,13,0,1913,1956,TV,Relax-Movie-Child-TV,Low,1,Low,cô nàng trong trắng oh woo ri,K-Drama,EM LA NIEM KIEU HANH CUA ANH,Romantic movie,Changed,K-Drama; Romantic movie
88925,AGAAA3326,35,0,0,0,101615,101650,TV,Relax-TV,Medium,7,Low,nấc thang lên thiên đường,Romantic movie,go go squid!,C-Drama,Changed,Romantic movie; C-Drama
89376,AGAAA3352,13,13,23,0,473413,473462,TV,Relax-Movie-Child-TV,Medium,9,Low,nhà trắng thất thủ: kẻ phản bội,Action movie,cặp đôi cay như ớt tập 1,Thai-Drama,Changed,Action movie; Thai-Drama
89455,AGAAA3364,0,1135,0,0,136759,137894,TV,Movie-TV,Medium,17,Medium,thị trấn về đêm,Music,thị trấn về đêm,Music,Unchanged,Unchanged
8968,AGAAA3366,0,0,0,0,6148,6148,TV,TV,Low,1,Low,những đứa trẻ trong làng giải trí,US-Drama,lương sơn bá – chúc anh đài,C-Drama,Changed,US-Drama; C-Drama
89870,AGAAA3401,0,6578,0,0,38430,45008,TV,Movie-TV,Low,15,Low,siêu nhân,Kids,fan,Other,Changed,Kids; Other
90472,AGAAA3476,0,0,0,0,43653,43653,TV,TV,Low,3,Low,penthouse 3,K-Drama,xem ra em rất ngọt ngào,Romantic movie,Changed,K-Drama; Romantic movie
91327,AGAAA3502,63,49,61,0,230168,230341,TV,Relax-Movie-Child-TV,Medium,14,Medium,true beauty,K-Drama,"tuổi hai lăm , tuổi hai mốt",Romantic movie,Changed,K-Drama; Romantic movie
92766,AGAAA3542,0,0,162,0,179,341,TV,Child-TV,Low,1,Low,siêu nhân,Kids,siêu nhân,Kids,Unchanged,Unchanged
92852,AGAAA3571,0,0,0,0,266898,266898,TV,TV,Medium,9,Low,Liên Minh Công Lý: Phiên bản của Zack Snyder,Action movie,Liên Minh Công Lý: Phiên bản của Zack Snyder,Action movie,Unchanged,Unchanged
92938,AGAAA3591,0,7023,0,0,149,7172,Movie,Movie-TV,Low,2,Low,người đàn bà đặc biệt,K-Drama,đao kiếm thần vực (phần 4),Anime,Changed,K-Drama; Anime
94115,AGAAA3614,0,0,0,0,9351,9351,TV,TV,Low,5,Low,cô tiên dọn rẹp,K-Drama,yêu em từ cái nhìn đầu tiên,Romantic movie,Changed,K-Drama; Romantic movie
9424,AGAAA3660,64,0,0,0,67639,67703,TV,Relax-TV,Medium,5,Low,ấn độ - iran | xem lại trận đấu,Sport,doraemon,Cartoon,Changed,Sport; Cartoon
94399,AGAAA3674,0,49,0,0,93674,93723,TV,Movie-TV,Medium,8,Low,cảnh đẹp ngày vui biết bao giờ,C-Drama,euphoria s1,US-Drama,Changed,C-Drama; US-Drama
